,idol,count
11,bish,337
16,まねきケチャ,240
12,bis,204
15,わーすた,148
73,fes☆tive,145
42,passcode,135
57,欅坂46,122
235,ベイビーレイズjapan,115
95,でんぱ組.inc,111
134,乃木坂46,108
642,フィロソフィーのダンス,107
17,大阪☆春夏秋冬,101
563,虹のコンキスタドール,99
234,神宿,99
13,gang parade,97
43,私立恵比寿中学,96
217,sora tob sakana,95
39,cy8er,88
45,バンドじゃないもん!,87
216,アイドルネッサンス,85
204,天晴れ!原宿,85
491,愛乙女☆doll,85
205,task have fun,83
141,ヤなことそっとミュート,82
40,ゆるめるモ!,80
308,東京女子流,78
62,26時のマスカレイド,78
145,放課後プリンセス,78
146,migma shelter,78
356,maison book girl,77
87,ももいろクローバーz,74
220,妄想キャリブレーション,73
355,アンジュルム,72
41,ぜんぶ君のせいだ。,71
213,negicco,69
9,絶対直球女子!プレイボールズ,69
125,predia,68
8,エルフロート,67
252,uijin,67
58,gem,66
36,煌めき☆アンフォレント,66
344,passpo☆,66
493,アキシブproject,63
1469,drop,63
464,juice=juice,62
232,夢みるアドレセンス,61
59,super☆girls,59
378,寺嶋由芙,59
547,say-la,58
215,チームしゃちほこ,57
208,there there theres,57
218,amiina,56
233,アイドルカレッジ,55
779,絶叫する60度,54
157,青shun学園,54
297,つりビット,53
294,nmb48,50
207,あゆみくりかまき,50
270,純情のアフィリア,50
1418,ready to kiss,48
1110,notall,47
295,hkt48,45
481,風男塾,44
1155,babymetal,44
564,ange☆reve,43
182,°c-ute,43
10,cheeky parade,42
440,劇場版ゴキゲン帝国,42
820,ワンダーウィード,42
131,ske48,41
411,イケてるハーツ,41
35,アンダービースティー,41
130,akb48,39
257,虹コン,39
556,palet,39
61,転校少女歌撃団,38
377,絵恋ちゃん,37
347,9nine,37
108,仮面女子,37
284,アップアップガールズ(仮),37
1142,全力少女r,36
437,おやすみホログラム,36
1648,天晴れ,36
548,maplez,36
386,linq,35
430,桃色革命,35
1154,ゆくえしれずつれづれ,34
641,lyrical school,33
293,こぶしファクトリー,33
160,バンもん,33
1420,ダイヤモンドルフィー,33
889,i☆ris,33
829,つばきファクトリー,33
778,我儘ラキア,32
1166,むすびズム,32
243,プレイボールズ,32
1126,ももクロ,32
1127,エビ中,32
354,モーニング娘。'17,32
214,why@doll,31
887,luce twinkle wink☆,31
60,chu☆oh!dolly,31
361,たこやきレインボー,30
254,閃光ロードショー,30
388,banzai japan,29
576,ギャンパレ,29
179,ニジマス,29
1267,ハニースパイス,29
158,天晴れ原宿,29
1308,callme,29
454,はっぴっぴ,28
675,カントリーガールズ,28
980,starmarie,27
492,stella☆beats,27
407,じゅじゅ,27
1528,ベボガ!,26
244,スパガ,26
383,チキパ,26
1020,ベビレ,26
7,山口活性学園,26
1451,dreaming monster,25
1031,妄キャリ,25
1766,でんぱ組,25
498,フルーティー,25
1163,キラフォレ,25
264,banzaijapan,24
1272,2o love to sweet bullet,24
268,ベボガ,24
269,アキシブ,24
774,neve slide down,24
132,dora☆dora,24
559,マジカルパンチライン,24
150,空野青空,23
966,pimm's,23
310,chu-z,23
5,強がりセンセーション,23
123,らぶどる,23
400,まねき,23
2445,ぷちぱすぽ☆,22
183,フェアリーズ,22
843,=love,22
1106,原宿物語,21
1143,dear kiss,21
1551,ゆるっと革命団,21
363,せのしすたぁ,21
738,東京cutecute,21
219,東京パフォーマンスドール,21
546,エラバレシ,21
135,キミイロプロジェクト,21
300,berryz工房,21
248,ゼアゼア,21
1247,bellring少女ハート,21
888,pass code,20
466,dear l mana,20
360,ばってん少女隊,20
858,dorothy little happy,20
643,ryutist,20
44,ベッドイン,20
368,feam,20
442,ライムベリー,19
434,ladybaby,19
1485,大阪春夏秋冬,19
1084,ブクガ,19
985,a応p,19
465,ngt48,19
545,ヲルタナティヴ,19
441,ぜんぶ君のせいだ,19
436,二丁目の魁カミングアウト,19
994,レディキス,19
1628,ちゅーどり,19
81,kata☆chu,19
2262,perfume,19
678,ぷちぱすぽ,19
1389,カモネギ,19
763,異国のパルピタンテ,18
1081,フィロのス,18
1150,ミシェル,18
506,ドリモン,18
741,パピマシェ,18
1287,終演後物販,18
1373,81moment,18
331,柊木りお,18
1923,ひめキュンフルーツ缶,18
1056,knu,17
1532,party rockets gt,17
494,jewel☆neige,17
1266,アイドル諜報機関level7,17
178,夢アド,17
552,さくら学院,17
558,pimm’s,17
679,さきどり発進局,17
343,x21,17
1741,里咲りさ,16
1468,alloy,16
374,tokio,16
810,プレボ,16
6,手羽先センセーション,16
66,ぱいぱいでか美,16
1175,3776,16
2014,モーニング娘。,16
1370,kamoがネギをしょってくるッ!!!,16
1670,koto,16
606,おみやげ,15
1083,タスク,15
765,プリズムファンタジア,15
379,エレクトリックリボン,15
1039,なんキニ!,15
1063,偶想drop,15
1480,krd8,15
421,ハッピーくるくる,15
1021,8princess,15
2981,la pompon,15
782,会心ノ一撃,15
817,まなみのりさ,15
1879,necronomidol,15
406,ぜん君,15
299,しゅかしゅん,15
124,東京イルミナティ,15
945,バニラビーンズ,14
1487,バンドじゃないもん,14
1285,high spirits,14
249,hamidasystem,14
1243,ヤナミュー,14
3383,ピンキースカイ,14
846,ふわふわ,14
1017,parfait,14
770,恋するフリーク,14
1384,2&,14
148,新生おやゆびプリンセス,14
600,buono!,14
1033,loop,14
422,the hoopers,14
3133,愛乙女★doll,14
562,煌めきアンフォレント,14
2065,つばさfly,14
892,乃木坂,14
1925,チーム8,13
957,鈴音ひとみ,13
1023,おしくらまんじゅ,13
253,クマリデパート,13
2086,sugartrap,13
798,花言葉はイノセンス,13
2051,atme,13
581,ニコニコ♡lovers,13
126,放プリ,13
1875,きみがわたしだけのおうじさまだったら,13
688,poem,13
648,アイドル教室,13
699,あんじゅれ,13
712,ルーチェ,13
828,キャンディzoo,13
724,バクステ外神田一丁目,13
174,ティアーズ,13
122,g☆girls,13
773,rhymeberry,13
32,エコ怪獣,12
2544,水萌みず,12
891,欅坂,12
970,tpd,12
2038,ピュアリーモンスター,12
965,チャオベッラチンクエッティ,12
72,まじばんch,12
329,上野優華,12
1586,ユイガドクソン,12
1807,放プリユース,12
1649,さきどり,12
690,c-style,12
426,kissbeewest,12
221,シンセカイセン,12
2278,です。ラビッツ,12
311,devil anthem.,12
1421,仮面女子候補生west,12
172,checkmate,12
651,トゥラブ,11
140,スマイル海賊団,11
85,needs,11
1252,empire,11
2690,star☆t,11
3268,パンダみっく,11
725,siam&poptune,11
939,川崎純情小町,11
2384,花ちらし組,11
1064,galette,11
1026,アイカレ,11
1583,gangparade,11
557,赤ちょこ,11
1854,椎名ぴかりん,11
1006,ゴキ帝,10
848,billie idle®,10
34,d-girls,10
2010,さんみゅ~,10
26,ミルクセーキ,10
2944,あヴぁんだんど,10
827,アップアップガールズ(2),10
1041,でんぱ,10
2319,ロッカジャポニカ,10
845,ラストアイドル,10
1273,絶対直球女子プレイボールズ,10
92,aibeck,10
2045,popup,10
1450,姫庭,10
435,billie idle,10
30,biresco,10
4504,saka-sama,10
456,愛夢gltokyo,10
173,level7,10
1711,niimo,10
865,プリファン,10
211,ハロプロ研修生,10
1899,solasound,10
2812,ドリキス,10
3053,ミグマシェルター,10
250,みんなのこどもちゃん,10
670,演歌女子ルピナス組,10
246,マジパン,10
1095,オサカナ,10
953,未完成リップスパークル,10
2342,マボロシ可憐gene,10
1332,dearkiss,9
2328,あそびダンジョン,9
921,fullfull☆pocket,9
1857,sola sound,9
1727,欅,9
405,969,9
2412,いちごみるく色に染まりたい。,9
1190,summer rocket,9
4502,mellow green wonder,9
744,くるーず,9
1002,果汁100%,9
1003,神激,9
955,クピドリック,9
1733,ヲルタナティブ,9
3072,藤川千愛,9
2850,パクスプエラ,9
578,究極人形,9
1918,covergirls,9
1706,sir,9
423,けやき坂46,9
444,レッツポコポコ,9
982,蜂蜜★皇帝,9
419,dolly kiss,9
1120,ケミカル⇄リアクション,9
159,プティパ,9
987,雷都少女,9
1119,上月せれな,9
951,ポニカロード,9
1139,payrin's,9
995,きみだけ,9
3616,たこ虹,8
543,ピイシーズ,8
2291,candy go!go!,8
428,kissbee,8
2390,ときめき宣伝部,8
783,マボカレ,8
859,μ's,8
2431,いぎなり東北産,8
2697,p-loco,8
455,平成琴姫,8
443,mistress,8
3688,ひなみちゃん,8
1434,kaguya,8
832,ココロモヨヲ,8
742,パピロジェ,8
2044,ぴゅあ娘,8
1387,さきどり発信局,8
394,ハニスパ,8
2663,中川翔子,8
823,三毛猫歌劇団,8
1545,clipclip,8
2258,サジタリアス流星群,8
2306,純情のあんな,8
620,theretheretheres,8
1483,葉月,8
1643,それでも時代はまわってます。,8
4809,竹下さな,8
129,アンビス,8
1102,さくらシンデレラ,8
245,パティロケ,8
251,電影と少年cq,8
149,ピコピコ☆レボリューション,8
2588,絶叫,8
133,jewel*mariee,8
56,i*chip_memory,8
4505,エモクルスコップ,8
117,加藤しょこら,8
2582,夢見るアドレセンス,8
1149,ゆっふぃー,8
1713,とき宣,8
2168,みきちゅ,8
3941,chelip,8
2599,chula,8
309,チャオ ベッラ チンクエッティ,8
185,こぶし,8
3991,ハコイリ♡ムスメ,8
189,少女隊,8
1082,おやホロ,8
1869,生ハムと焼うどん,7
916,ハイスピ,7
107,アリス十番,7
2077,柳瀬蓉,7
1334,devil anthem,7
1525,星座百景,7
2671,shiny shiny,7
283,▽,7
3605,task have fan,7
567,lovin&s,7
291,ロザリオクロス,7
1255,東京23区ガールズ,7
1140,星名ふみみ,7
702,アプガ,7
930,萌えこれ学園,7
170,disdol,7
1488,the banana monkeys,7
5835,餅月ぷに,7
1356,手羽セン,7
3377,キャンディーズ,7
6089,スパスピ,7
596,リナチックステイト,7
180,スマイレージ,7
2808,幽世テロルarchitect,7
720,ノンシュガー,7
1502,チャオベラ,7
3537,ベルハー,7
1882,恥じらいレスキューjpn,7
2388,サクヤコノハナ,7
582,(株)やみつきカンパニー,7
266,ユメオイ少女,7
1898,星乃ちろる,7
1836,adfiction,7
1903,パスコ,7
1417,仮面女子候補生,7
37,アンドクレイジー,7
1148,ドッツ,7
2292,アンダービースティ,7
2576,仮面ライダーgirls,7
3495,島崎和歌子,7
5316,三代目konamon,7
766,baby to kiss,7
757,カプ式会社ハイパーモチベーション,7
726,anna☆s,7
771,かぷりす,7
1022,鶯谷エイリアンズ,7
408,モ!,7
1495,spark speaker,6
152,オモテカホ,6
376,平野友里,6
1729,あゆくま,6
3990,さんみゅ〜,6
1318,キセキレイ,6
3660,tcc,6
263,旋律フリージア,6
958,雨宮沙耶,6
860,ふゆのどうぶつえん,6
336,加茂川マコト,6
4772,wug,6
915,ヲルタナ,6
2290,inkey oops,6
1988,ふくおか官兵衛girls,6
952,川崎純情小町☆,6
1665,hauptharmonie,6
513,ときめき♡宣伝部,6
1094,ベビメタ,6
1097,ヤなミュー,6
890,ビリーアイドル,6
2721,bpm15q,6
1519,migmashelter,6
2072,neo break,6
514,桜エビ〜ず,6
238,mary angel,6
1507,ジキルとハイド,6
2235,ミライスカート,6
1019,ジキルトハイド,6
907,黄金時代,6
396,エルマナ,6
31,天空音パレード,6
764,p.idl,6
1371,おやすみセカイ,6
2999,passpo,6
2387,highspirits,6
1623,ステラビ,6
729,stereo tokyo,6
2191,強セン,6
739,qunqun,6
1135,ほわどる,6
93,ディア☆,6
4365,アイルネ,6
74,アイくるガールズ,6
1465,サルカニバナシ,6
292,dela,6
3,animalbeast,6
1710,chimo,6
1248,モーニング娘。’17,6
1463,あかぎ団,6
1333,"no,satelight",6
553,恵比寿マスカッツ,6
429,chubbiness,6
926,d-trance,6
815,東京flavor,6
1351,baby metal,6
463,転校少女歌劇団,6
1872,ぴゅあ娘リローデッド,6
1062,乙女新党,6
1411,爆音少女症候群,6
367,littlemore.,6
1118,ハニーゴーラン,6
2011,ヤンチャン学園音楽部,6
127,ミリスパ,6
469,ryukyu idol,6
991,乙女座長☆銀河団,6
326,tears,6
2821,spl∞ash,6
1422,ppp!pixion,6
1164,task,5
4397,センチメンタルウインク,5
777,malcolm mask mclaren,5
572,柚之原りえ,5
568,ティーンズ☆ヘブン,5
4,fiore,5
188,リリスク,5
3386,lucifer,5
1847,akb48 team8,5
2247,大森靖子,5
2801,ハコイリムスメ,5
1537,lovelys,5
826,ジュリアナの祟り,5
772,(順不同),5
768,神使轟く、激情の如く。,5
79,超特急,5
715,clock&botan,5
713,清竜人25,5
89,松田聖子,5
75,水戸ご当地アイドル(仮),5
730,流星群少女,5
734,tomato n' pine,5
1128,candye♡syrup,5
1125,ニコラバ,5
105,アーマーガールズ,5
106,スチームガールズ,5
689,soulmate,5
4139,柚希未結,5
3098,onepixcel,5
4875,culumi,5
2129,かたちゅー,5
1486,partyrocketsgt,5
1439,dish//,5
1435,わ→すた,5
1491,アーススタードリーム,5
1455,きゃわふるtornado,5
4082,perfo★ism,5
4081,monecco5,5
2345,wendee,5
875,恋フリ,5
5096,閃光,5
4403,新しい学校のリーダーズ,5
2589,吉川友,5
375,煩悩paradox,5
5434,expiece,5
2609,姫乃たま,5
339,愛野可奈,5
3242,8ベイビーレイズjapan,5
2903,broken by the scream,5
1961,aqours,5
2240,sketch,5
1921,ベビキス,5
1906,つれづれ,5
453,福永幸海,5
993,ワンウィ,5
1620,池本真緒,5
501,しず風&絆,5
5245,るなてん,5
988,ガールズq/b,5
978,electricgirl,5
4179,女子流,5
1323,いちごみるく色に染まりたい,5
287,リアライト,5
1698,乃木,5
4152,cynhn,5
2624,蜜兎,5
509,パティロケgt,5
2665,ドロシー,5
495,柏木由紀,5
3915,j☆dee'z,5
2383,なんキニ,5
206,le biglemoi,5
371,嵐,5
1606,モー娘。,5
2911,ais,5
2094,taskhavefun,5
365,キャンディランド教団,5
265,東京おとめ太鼓,5
3265,ヤンチャン学園kansai,5
1663,少女閣下のインターナショナル,5
6058,yes happy!,5
4831,佐久間透友,5
346,スフィア,5
1730,cure。,5
1717,桃奈ひさこ,4
1699,hkt,4
2325,つぼみ,4
4033,ske,4
2199,ハイモチ,4
1870,princessgarden姫庭,4
2048,渡良瀬橋43,4
3564,ぜんきみ,4
1723,wink,4
1611,峰尾こずえ,4
2321,奥澤村,4
3875,純粋カフェラッテ,4
4778,ふたりオポジット,4
3312,dokidoki☆ドリームキャンパス,4
2667,chu!☆lips,4
1372,parasite.kiss,4
4243,5fes☆tive,4
1134,ばなもん,4
470,cana÷biss,4
2890,choco★milq,4
115,柚原きょん,4
695,smap,4
694,hey!say!jump,4
4503,ベボガ!(虹のコンキスタドール黄組),4
116,あくる,4
3119,まちだガールズクワイア,4
3163,pixmix,4
831,フルーレット,4
1822,axell,4
809,エルフロ,4
760,ゆめかわクラウンtokyo,4
2917,spring chubit,4
1928,アプガ(2),4
998,姫事絶対値,4
797,pigu,4
999,li-v-rave,4
3090,吉田凜音,4
1001,ジュエマ,4
84,スライムガールズ,4
2635,taskhavefan,4
5078,スタマリ,4
385,ばっしょー,4
1179,はちみつクロニクル,4
1838,sherbet,4
2563,とちおとめ25,4
2285,kissmechopitto,4
793,joy van crew,4
758,ただの女の子。,4
2446,乃木坂46 3期生,4
1183,うさロイド,4
340,いとうあいか,4
3890,東京clear's,4
2660,ダンシング☆プリンセス,4
721,代々木女子音楽院,4
1196,sweets,4
1396,小桃音まい,4
667,虹色幻想曲~プリズムファンタジア~,4
4602,浪速六歌仙,4
3683,偶像drop,4
1263,バンもん!,4
2084,渡辺麻友,4
1852,モーニング娘17,4
51,5bish,4
1440,twice,4
2631,ベイビーレイズ,4
5737,ハコムス,4
3715,トキヲイキル,4
2556,dream5,4
316,私立シトロン学園,4
913,ドリ☆ステ,4
477,6まねきケチャ,4
607,princessgarden-姫庭-,4
936,toy smiley,4
3155,薛婷允,4
2123,tj,4
602,premony,4
3282,かなぁ。,4
2058,on and go!,4
4150,関ジャニ∞,4
175,labo,4
1577,sevens heaven,4
1531,piiiiiiin,4
3647,akb48team8,4
943,水森由菜withつるぴかりん,4
1588,オトメブレイヴ,4
1320,natasha,4
886,アイドリング!!!,4
884,ミルクス本物,4
3385,ひぜんりさ,4
2693,re:clash,4
240,レモンエンジェル,4
4509,especia,4
2506,いずこねこ,4
1746,アフィリア,4
1888,小池美由,4
2503,フルフルポケット,4
551,3b junior,4
566,煌星のミルフィーユ,4
193,ピンキー!ノーラ&ペトラ,4
4988,コロスケとばんぱいあとやくも,4
1325,cupitron,4
1330,校庭カメラギャル,4
187,akb,4
579,ナト☆カン,4
2184,アプガ(仮),4
2070,csli,4
912,pupupu81,4
3154,tiraぴょん,4
3649,アップアップガールズ,4
609,stu48,4
2232,963,4
1367,ワルキューレ,4
4330,smile,4
1877,shinyshiny,4
1769,ilovu,4
2612,ange☆rave,4
2789,choice?,4
866,まねケチャ,4
1361,がんぎっこ,4
1897,*ココロモヨヲ*,4
1503,"wake up,girls!",4
956,大宮アイドール,4
1065,doll☆elements,4
3967,佐々木彩夏,4
877,可憐girl's,4
4318,るなっち☆ほし,4
241,アフィリアサーガイースト,4
4581,該当なし,4
2062,涙-namida-,3
2090,会場,3
2828,akb48(チーム8),3
969,匿名ミラージュ,3
1327,kit cat,3
3455,ribbon,3
1117,+tic color,3
1109,ノタル,3
5062,every♥ing!,3
1406,イコラブ,3
5097,ttts,3
968,京都flavor,3
4665,水樹奈々,3
910,ドルーチュ,3
1365,ゴキゲン帝国,3
